Reference;Species;Sp.State;Specimen;Order;Suborder;Superfamily;Family;Subfamily;Genus;Genus.Author;Species.Author;Stage;Substage;Biozone;Interval;Aperture.Image;wh
D. Korn;Fidelites bicanaliculatus;;Fig.80C.whorl2;Agoniatitida;Agoniatitina;Agoniatitaceae;Agoniatitidae;Agoniatitinae;Fidelites;Chlupac and Turek 1983;Sandberger and Sandberger 1856;Eifelian;early Eifelian;Foordites veniens;Interval 4;Fidelites bicanaliculatus - Fideclar2 - (wh 22.9 mm) - D. Korn;22,9
D. Korn;Fidelites bicanaliculatus;;Fig.80C.whorl3;Agoniatitida;Agoniatitina;Agoniatitaceae;Agoniatitidae;Agoniatitinae;Fidelites;Chlupac and Turek 1983;Sandberger and Sandberger 1856;Eifelian;early Eifelian;Foordites veniens;Interval 4;Fidelites bicanaliculatus - Fideclar3 - (wh 14.0 mm) - D. Korn;14
D. Korn;Fidelites bicanaliculatus;;Fig.80C.whorl4;Agoniatitida;Agoniatitina;Agoniatitaceae;Agoniatitidae;Agoniatitinae;Fidelites;Chlupac and Turek 1983;Sandberger and Sandberger 1856;Eifelian;early Eifelian;Foordites veniens;Interval 4;Fidelites bicanaliculatus - Fideclar4 - (wh 8.6 mm) - D. Korn;8,6
D. Korn;Fidelites bicanaliculatus;;Fig.80C.whorl5;Agoniatitida;Agoniatitina;Agoniatitaceae;Agoniatitidae;Agoniatitinae;Fidelites;Chlupac and Turek 1983;Sandberger and Sandberger 1856;Eifelian;early Eifelian;Foordites veniens;Interval 4;Fidelites bicanaliculatus - Fideclar5 - (wh 5.4 mm) - D. Korn;5,4
D. Korn;Fidelites bicanaliculatus;;Fig.80C.whorl6;Agoniatitida;Agoniatitina;Agoniatitaceae;Agoniatitidae;Agoniatitinae;Fidelites;Chlupac and Turek 1983;Sandberger and Sandberger 1856;Eifelian;early Eifelian;Foordites veniens;Interval 4;Fidelites bicanaliculatus - Fideclar6 - (wh 3.2 mm) - D. Korn;3,2
D. Korn;Fidelites bicanaliculatus;;Fig.80C.whorl7;Agoniatitida;Agoniatitina;Agoniatitaceae;Agoniatitidae;Agoniatitinae;Fidelites;Chlupac and Turek 1983;Sandberger and Sandberger 1856;Eifelian;early Eifelian;Foordites veniens;Interval 4;Fidelites bicanaliculatus - Fideclar7 - (wh 2.0 mm) - D. Korn;2
Ebbighausen et al 2011;Werneroceras ruppachense;;MB.C.15728.7.whorl1;Agoniatitida;Anarcestina;Anarcestaceae;Werneroceratidae;Werneroceratinae;Werneroceras;Wedekind 1918;Kayser 1879;Eifelian;early Eifelian;Foordites veniens;Interval 4;Werneroceras ruppachense - MB.C.15728.7.whorl1 - (wh 18.3 mm) - Ebbighausen et al. 2011;18,3
Ebbighausen et al 2011;Werneroceras ruppachense;;MB.C.15728.7.whorl2;Agoniatitida;Anarcestina;Anarcestaceae;Werneroceratidae;Werneroceratinae;Werneroceras;Wedekind 1918;Kayser 1879;Eifelian;early Eifelian;Foordites veniens;Interval 4;Werneroceras ruppachense - MB.C.15728.7.whorl2 - (wh 11.0 mm) - Ebbighausen et al. 2011;11
Ebbighausen et al 2011;Werneroceras ruppachense;;MB.C.15728.7.whorl3;Agoniatitida;Anarcestina;Anarcestaceae;Werneroceratidae;Werneroceratinae;Werneroceras;Wedekind 1918;Kayser 1879;Eifelian;early Eifelian;Foordites veniens;Interval 4;Werneroceras ruppachense - MB.C.15728.7.whorl3 - (wh 7.5 mm) - Ebbighausen et al. 2011;7,5
Ebbighausen et al 2011;Werneroceras ruppachense;;MB.C.15728.7.whorl3;Agoniatitida;Anarcestina;Anarcestaceae;Werneroceratidae;Werneroceratinae;Werneroceras;Wedekind 1918;Kayser 1879;Eifelian;early Eifelian;Foordites veniens;Interval 4;Werneroceras ruppachense - MB.C.15728.7.whorl4 - (wh 5.4 mm) - Ebbighausen et al. 2011;5,4
Korn and Klug 2002;Fidelites fidelis;;Fig.80.B.whorl1;Agoniatitida;Agoniatitina;Agoniatitaceae;Agoniatitidae;Agoniatitinae;Fidelites;Chlupac and Turek 1983;Klug 2002;Eifelian;early Eifelian;Foordites veniens;Interval 4;Fidelites fidelis - Fig.80B.whorl1 - (wh 25.0 mm) - Korn and Klug 2002;25
Korn and Klug 2002;Fidelites fidelis;;Fig.80.B.whorl2;Agoniatitida;Agoniatitina;Agoniatitaceae;Agoniatitidae;Agoniatitinae;Fidelites;Chlupac and Turek 1983;Klug 2002;Eifelian;early Eifelian;Foordites veniens;Interval 4;Fidelites fidelis - Fig.80B.whorl2 - (wh 15.0 mm) - Korn and Klug 2002;15
Korn and Klug 2002;Fidelites fidelis;;Fig.80.B.whorl3;Agoniatitida;Agoniatitina;Agoniatitaceae;Agoniatitidae;Agoniatitinae;Fidelites;Chlupac and Turek 1983;Klug 2002;Eifelian;early Eifelian;Foordites veniens;Interval 4;Fidelites fidelis - Fig.80B.whorl3 - (wh 9.0 mm) - Korn and Klug 2002;9
Korn and Klug 2002;Fidelites fidelis;;Fig.80.B.whorl4;Agoniatitida;Agoniatitina;Agoniatitaceae;Agoniatitidae;Agoniatitinae;Fidelites;Chlupac and Turek 1983;Klug 2002;Eifelian;early Eifelian;Foordites veniens;Interval 4;Fidelites fidelis - Fig.80B.whorl4 - (wh 5.7 mm) - Korn and Klug 2002;5,7
Korn and Klug 2002;Fidelites fidelis;;Fig.80.B.whorl5;Agoniatitida;Agoniatitina;Agoniatitaceae;Agoniatitidae;Agoniatitinae;Fidelites;Chlupac and Turek 1983;Klug 2002;Eifelian;early Eifelian;Foordites veniens;Interval 4;Fidelites fidelis - Fig.80B.whorl5 - (wh 3.4 mm) - Korn and Klug 2002;3,4
Korn and Klug 2002;Mimagoniatites bohemicus;;Fig.69A.whorl1;Agoniatitida;Agoniatitina;Mimagoniatitaceae;Mimagoniatitidae;Mimagoniatitinae;Mimagoniatites;Eichenberg 1930;Barrande 1865;Emsian;early Eifelian;Foordites veniens;Interval 4;Mimagoniatites bohemicus - Fig.69A.whorl1 - (wh 40.3 mm) - Korn and Klug 2002;40,3
Korn and Klug 2002;Mimagoniatites bohemicus;;Fig.69A.whorl2;Agoniatitida;Agoniatitina;Mimagoniatitaceae;Mimagoniatitidae;Mimagoniatitinae;Mimagoniatites;Eichenberg 1930;Barrande 1865;Emsian;early Eifelian;Foordites veniens;Interval 4;Mimagoniatites bohemicus - Fig.69A.whorl2 - (wh 19.3 mm) - Korn and Klug 2002;19,3
Korn and Klug 2002;Mimagoniatites bohemicus;;Fig.69A.whorl3;Agoniatitida;Agoniatitina;Mimagoniatitaceae;Mimagoniatitidae;Mimagoniatitinae;Mimagoniatites;Eichenberg 1930;Barrande 1865;Emsian;early Eifelian;Foordites veniens;Interval 4;Mimagoniatites bohemicus - Fig.69A.whorl3 - (wh 10.7 mm) - Korn and Klug 2002;10,7
Korn and Klug 2002;Mimagoniatites bohemicus;;Fig.69A.whorl4;Agoniatitida;Agoniatitina;Mimagoniatitaceae;Mimagoniatitidae;Mimagoniatitinae;Mimagoniatites;Eichenberg 1930;Barrande 1865;Emsian;early Eifelian;Foordites veniens;Interval 4;Mimagoniatites bohemicus - Fig.69A.whorl4 - (wh 5.7 mm) - Korn and Klug 2002;5,7
Korn and Klug 2002;Mimagoniatites bohemicus;;Fig.69A.whorl5;Agoniatitida;Agoniatitina;Mimagoniatitaceae;Mimagoniatitidae;Mimagoniatitinae;Mimagoniatites;Eichenberg 1930;Barrande 1865;Emsian;early Eifelian;Foordites veniens;Interval 4;Mimagoniatites bohemicus - Fig.69A.whorl5 - (wh 2.7 mm) - Korn and Klug 2002;2,7
Korn and Klug 2002;Chlupacites praeceps;;Fig.73D-whorl1;Agoniatitida;Agoniatitina;Mimagoniatitaceae;Latanarcestidae;Latanarcestinae;Chlupacites;Becker and House 1994;Chlupac and Turek 1983;Eifelian;early Eifelian;Foordites veniens;Interval 4;Chlupacites praeceps - Fig.73D.whorl1 - wh(25.9 mm) - D. Korn;25,9
Korn and Klug 2002;Chlupacites praeceps;;Fig.73D-whorl2;Agoniatitida;Agoniatitina;Mimagoniatitaceae;Latanarcestidae;Latanarcestinae;Chlupacites;Becker and House 1994;Chlupac and Turek 1983;Eifelian;early Eifelian;Foordites veniens;Interval 4;Chlupacites praeceps - Fig.73D.whorl2 - wh(16.4 mm) - D. Korn;16,4
Korn and Klug 2002;Chlupacites praeceps;;Fig.73D-whorl3;Agoniatitida;Agoniatitina;Mimagoniatitaceae;Latanarcestidae;Latanarcestinae;Chlupacites;Becker and House 1994;Chlupac and Turek 1983;Eifelian;early Eifelian;Foordites veniens;Interval 4;Chlupacites praeceps - Fig.73D.whorl3 - wh(9.6 mm) - D. Korn;9,6
Korn and Klug 2002;Chlupacites praeceps;;Fig.73D-whorl4;Agoniatitida;Agoniatitina;Mimagoniatitaceae;Latanarcestidae;Latanarcestinae;Chlupacites;Becker and House 1994;Chlupac and Turek 1983;Eifelian;early Eifelian;Foordites veniens;Interval 4;Chlupacites praeceps - Fig.73D.whorl4 - wh(5.4 mm) - D. Korn;5,4
Korn and Klug 2002;Chlupacites praeceps;;Fig.73D-whorl5;Agoniatitida;Agoniatitina;Mimagoniatitaceae;Latanarcestidae;Latanarcestinae;Chlupacites;Becker and House 1994;Chlupac and Turek 1983;Eifelian;early Eifelian;Foordites veniens;Interval 4;Chlupacites praeceps - Fig.73D.whorl5 - wh(3.4 mm) - D. Korn;3,4
Korn and Klug 2002;Chlupacites praeceps;;Fig.73D-whorl6;Agoniatitida;Agoniatitina;Mimagoniatitaceae;Latanarcestidae;Latanarcestinae;Chlupacites;Becker and House 1994;Chlupac and Turek 1983;Eifelian;early Eifelian;Foordites veniens;Interval 4;Chlupacites praeceps - Fig.73D.whorl6 - wh(2.0 mm) - D. Korn;2
D. Korn;Anarcestes lateseptatus;;Anarlate1;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Barrande 1865;Eifelian;early Eifelian;Foordites veniens;Interval 4;Anarcestes lateseptatus - Anarlate1 - (wh 11.0 mm) - D. Korn;11
Chlupac and Turek 1983;Anarcestes latissimus;;L19735.whorl1;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Chlupac and Turek 1983;Eifelian;early Eifelian;Foordites veniens;Interval 4;Anarcestes latissimus - L19735.whorl1 - (wh 15.2 mm) - Chlupac and Turek 1983;15,2
Chlupac and Turek 1983;Anarcestes latissimus;;L19735.whorl2;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Chlupac and Turek 1983;Eifelian;early Eifelian;Foordites veniens;Interval 4;Anarcestes latissimus - L19735.whorl2 - (wh 11.1 mm) - Chlupac and Turek 1983;11,1
Chlupac and Turek 1983;Anarcestes latissimus;;L19735.whorl3;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Chlupac and Turek 1983;Eifelian;early Eifelian;Foordites veniens;Interval 4;Anarcestes latissimus - L19735.whorl3 - (wh 7.3 mm) - Chlupac and Turek 1983;7,3
Korn and Klug 2002;Mimotornoceras djemeli;;Fig.86D.whorl1;Agoniatitida;Agoniatitina;Agoniatitaceae;Pinacitidae;Foorditinae;Mimotornoceras;Klug 2002;Petter 1955;Eifelian;early Eifelian;Foordites veniens;Interval 4;Mimotornoceras djemeli - Fig.86D - (wh 24.2 mm) - Korn and Klug 2002;
D. Korn;Foordites platypleura;;Foordplat1;Agoniatitida;Agoniatitina;Agoniatitaceae;Pinacitidae;Foorditinae;Foordites;Wedekind 1918;Frech 1889;Eifelian;early Eifelian;Foordites veniens;Interval 4;Foordites platypleura - Foordplat1 - (wh XX mm) - D. Korn;XX
Korn and Klug 2002;Mimagoniatites bohemicus;;Fig.69A.whorl1;Agoniatitida;Agoniatitina;Mimagoniatitaceae;Mimagoniatitidae;Mimagoniatitinae;Mimagoniatites;Eichenberg 1930;Barrande 1865;Emsian;early Eifelian;Anarcestes lateseptatus 2;Interval 4;Mimagoniatites bohemicus - Fig.69A.whorl1 - (wh 40.3 mm) - Korn and Klug 2002;40,3
Korn and Klug 2002;Mimagoniatites bohemicus;;Fig.69A.whorl2;Agoniatitida;Agoniatitina;Mimagoniatitaceae;Mimagoniatitidae;Mimagoniatitinae;Mimagoniatites;Eichenberg 1930;Barrande 1865;Emsian;early Eifelian;Anarcestes lateseptatus 2;Interval 4;Mimagoniatites bohemicus - Fig.69A.whorl2 - (wh 19.3 mm) - Korn and Klug 2002;19,3
Korn and Klug 2002;Mimagoniatites bohemicus;;Fig.69A.whorl3;Agoniatitida;Agoniatitina;Mimagoniatitaceae;Mimagoniatitidae;Mimagoniatitinae;Mimagoniatites;Eichenberg 1930;Barrande 1865;Emsian;early Eifelian;Anarcestes lateseptatus 2;Interval 4;Mimagoniatites bohemicus - Fig.69A.whorl3 - (wh 10.7 mm) - Korn and Klug 2002;10,7
Korn and Klug 2002;Mimagoniatites bohemicus;;Fig.69A.whorl4;Agoniatitida;Agoniatitina;Mimagoniatitaceae;Mimagoniatitidae;Mimagoniatitinae;Mimagoniatites;Eichenberg 1930;Barrande 1865;Emsian;early Eifelian;Anarcestes lateseptatus 2;Interval 4;Mimagoniatites bohemicus - Fig.69A.whorl4 - (wh 5.7 mm) - Korn and Klug 2002;5,7
Korn and Klug 2002;Mimagoniatites bohemicus;;Fig.69A.whorl5;Agoniatitida;Agoniatitina;Mimagoniatitaceae;Mimagoniatitidae;Mimagoniatitinae;Mimagoniatites;Eichenberg 1930;Barrande 1865;Emsian;early Eifelian;Anarcestes lateseptatus 2;Interval 4;Mimagoniatites bohemicus - Fig.69A.whorl5 - (wh 2.7 mm) - Korn and Klug 2002;2,7
Korn and Klug 2002;Chlupacites praeceps;;Fig.73D-whorl1;Agoniatitida;Agoniatitina;Mimagoniatitaceae;Latanarcestidae;Latanarcestinae;Chlupacites;Becker and House 1994;Chlupac and Turek 1983;Eifelian;early Eifelian;Anarcestes lateseptatus 2;Interval 4;Chlupacites praeceps - Fig.73D.whorl1 - wh(25.9 mm) - D. Korn;25,9
Korn and Klug 2002;Chlupacites praeceps;;Fig.73D-whorl2;Agoniatitida;Agoniatitina;Mimagoniatitaceae;Latanarcestidae;Latanarcestinae;Chlupacites;Becker and House 1994;Chlupac and Turek 1983;Eifelian;early Eifelian;Anarcestes lateseptatus 2;Interval 4;Chlupacites praeceps - Fig.73D.whorl2 - wh(16.4 mm) - D. Korn;16,4
Korn and Klug 2002;Chlupacites praeceps;;Fig.73D-whorl3;Agoniatitida;Agoniatitina;Mimagoniatitaceae;Latanarcestidae;Latanarcestinae;Chlupacites;Becker and House 1994;Chlupac and Turek 1983;Eifelian;early Eifelian;Anarcestes lateseptatus 2;Interval 4;Chlupacites praeceps - Fig.73D.whorl3 - wh(9.6 mm) - D. Korn;9,6
Korn and Klug 2002;Chlupacites praeceps;;Fig.73D-whorl4;Agoniatitida;Agoniatitina;Mimagoniatitaceae;Latanarcestidae;Latanarcestinae;Chlupacites;Becker and House 1994;Chlupac and Turek 1983;Eifelian;early Eifelian;Anarcestes lateseptatus 2;Interval 4;Chlupacites praeceps - Fig.73D.whorl4 - wh(5.4 mm) - D. Korn;5,4
Korn and Klug 2002;Chlupacites praeceps;;Fig.73D-whorl5;Agoniatitida;Agoniatitina;Mimagoniatitaceae;Latanarcestidae;Latanarcestinae;Chlupacites;Becker and House 1994;Chlupac and Turek 1983;Eifelian;early Eifelian;Anarcestes lateseptatus 2;Interval 4;Chlupacites praeceps - Fig.73D.whorl5 - wh(3.4 mm) - D. Korn;3,4
Korn and Klug 2002;Chlupacites praeceps;;Fig.73D-whorl6;Agoniatitida;Agoniatitina;Mimagoniatitaceae;Latanarcestidae;Latanarcestinae;Chlupacites;Becker and House 1994;Chlupac and Turek 1983;Eifelian;early Eifelian;Anarcestes lateseptatus 2;Interval 4;Chlupacites praeceps - Fig.73D.whorl6 - wh(2.0 mm) - D. Korn;2
D. Korn;Anarcestes lateseptatus;;Anarlate1;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Barrande 1865;Eifelian;early Eifelian;Anarcestes lateseptatus 2;Interval 4;Anarcestes lateseptatus - Anarlate1 - (wh 11.0 mm) - D. Korn;11
Chlupac and Turek 1983;Anarcestes latissimus;;L19735.whorl1;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Chlupac and Turek 1983;Eifelian;early Eifelian;Anarcestes lateseptatus 2;Interval 4;Anarcestes latissimus - L19735.whorl1 - (wh 15.2 mm) - Chlupac and Turek 1983;15,2
Chlupac and Turek 1983;Anarcestes latissimus;;L19735.whorl2;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Chlupac and Turek 1983;Eifelian;early Eifelian;Anarcestes lateseptatus 2;Interval 4;Anarcestes latissimus - L19735.whorl2 - (wh 11.1 mm) - Chlupac and Turek 1983;11,1
Chlupac and Turek 1983;Anarcestes latissimus;;L19735.whorl3;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Chlupac and Turek 1983;Eifelian;early Eifelian;Anarcestes lateseptatus 2;Interval 4;Anarcestes latissimus - L19735.whorl3 - (wh 7.3 mm) - Chlupac and Turek 1983;7,3
D. Korn;Anarcestes simulans;;Fig.119C.whorl1;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Barrande 1865;Eifelian;early Eifelian;Anarcestes lateseptatus 2;Interval 4;Anarcestes simulans - Fig.119C.whorl1 - (wh 8.9 mm) - Korn and Klug 2002;8,9
D. Korn;Anarcestes simulans;;Fig.119C.whorl2;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Barrande 1865;Eifelian;early Eifelian;Anarcestes lateseptatus 2;Interval 4;Anarcestes simulans - Fig.119C.whorl2 - (wh 6.1 mm) - Korn and Klug 2002;6,1
D. Korn;Anarcestes simulans;;Fig.119C.whorl3;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Barrande 1865;Eifelian;early Eifelian;Anarcestes lateseptatus 2;Interval 4;Anarcestes simulans - Fig.119C.whorl3 - (wh 5.4 mm) - Korn and Klug 2002;5,4
D. Korn;Anarcestes simulans;;Fig.119C.whorl4;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Barrande 1865;Eifelian;early Eifelian;Anarcestes lateseptatus 2;Interval 4;Anarcestes simulans - Fig.119C.whorl4 - (wh 4.2 mm) - Korn and Klug 2002;4,2
D. Korn;Anarcestes simulans;;Fig.119C.whorl5;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Barrande 1865;Eifelian;early Eifelian;Anarcestes lateseptatus 2;Interval 4;Anarcestes simulans - Fig.119C.whorl5 - (wh 3.5 mm) - Korn and Klug 2002;3,5
D. Korn;Anarcestes simulans;;Fig.119C.whorl6;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Barrande 1865;Eifelian;early Eifelian;Anarcestes lateseptatus 2;Interval 4;Anarcestes simulans - Fig.119C.whorl6 - (wh 2.5 mm) - Korn and Klug 2002;2,5
D. Korn;Anarcestes simulans;;Fig.119C.whorl7;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Barrande 1865;Eifelian;early Eifelian;Anarcestes lateseptatus 2;Interval 4;Anarcestes simulans - Fig.119C.whorl7 - (wh 2.2 mm) - Korn and Klug 2002;2,2
D. Korn;Anarcestes simulans;;Fig.119C.whorl8;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Barrande 1865;Eifelian;early Eifelian;Anarcestes lateseptatus 2;Interval 4;Anarcestes simulans - Fig.119C.whorl8 - (wh 1.9 mm) - Korn and Klug 2002;1,9
Chlupac and Turek 1983;Anarcestes plebeius;;L17758-whorl1;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Barrande 1865;Eifelian;early Eifelian;Anarcestes lateseptatus 2;Interval 4;Anarcestes plebeius - L17758.whorl1 - (wh 16.2 mm) - Chlupac and Turek 1983;16,2
Chlupac and Turek 1983;Anarcestes plebeius;;L17758-whorl2;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Barrande 1865;Eifelian;early Eifelian;Anarcestes lateseptatus 2;Interval 4;Anarcestes plebeius - L17758.whorl2 - (wh 11.6 mm) - Chlupac and Turek 1983;11,6
Chlupac and Turek 1983;Anarcestes plebeius;;L17758-whorl3;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Barrande 1865;Eifelian;early Eifelian;Anarcestes lateseptatus 2;Interval 4;Anarcestes plebeius - L17758.whorl3 - (wh 8.5 mm) - Chlupac and Turek 1983;8,5
Chlupac and Turek 1983;Anarcestes plebeius;;L17758-whorl4;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Barrande 1865;Eifelian;early Eifelian;Anarcestes lateseptatus 2;Interval 4;Anarcestes plebeius - L17758.whorl4 - (wh 6.6 mm) - Chlupac and Turek 1983;6,6
Chlupac and Turek 1983;Anarcestes plebeius;;L17758-whorl5;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Barrande 1865;Eifelian;early Eifelian;Anarcestes lateseptatus 2;Interval 4;Anarcestes plebeius - L17758.whorl5 - (wh 4.8 mm) - Chlupac and Turek 1983;4,8
Ebbighausen et al 2011;Anarcestes crassus;;MB.C.15694.6-whorl1;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Barrande 1867;Eifelian;early Eifelian;Anarcestes lateseptatus 2;Interval 4;Anarcestes crassus - MB.C.15693.whorl1 - (wh 14.2 mm) - Ebbighausen et al. 2011;14,2
Ebbighausen et al 2011;Anarcestes crassus;;MB.C.15694.6-whorl2;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Barrande 1867;Eifelian;early Eifelian;Anarcestes lateseptatus 2;Interval 4;Anarcestes crassus - MB.C.15693.whorl2 - (wh 11.2 mm) - Ebbighausen et al. 2011;11,2
Ebbighausen et al 2011;Anarcestes crassus;;MB.C.15694.6-whorl3;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Barrande 1867;Eifelian;early Eifelian;Anarcestes lateseptatus 2;Interval 4;Anarcestes crassus - MB.C.15693.whorl3 - (wh 11.0 mm) - Ebbighausen et al. 2011;11
Ebbighausen et al 2011;Anarcestes crassus;;MB.C.15694.6-whorl4;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Barrande 1867;Eifelian;early Eifelian;Anarcestes lateseptatus 2;Interval 4;Anarcestes crassus - MB.C.15693.whorl4 - (wh 9.5 mm) - Ebbighausen et al. 2011;9,5
Ebbighausen et al 2011;Anarcestes crassus;;MB.C.15694.6-whorl5;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Barrande 1867;Eifelian;early Eifelian;Anarcestes lateseptatus 2;Interval 4;Anarcestes crassus - MB.C.15693.whorl5 - (wh 8.5 mm) - Ebbighausen et al. 2011;8,5
Ebbighausen et al 2011;Anarcestes crassus;;MB.C.15694.6-whorl6;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Barrande 1867;Eifelian;early Eifelian;Anarcestes lateseptatus 2;Interval 4;Anarcestes crassus - MB.C.15693.whorl6 - (wh 7.3 mm) - Ebbighausen et al. 2011;7,3
Korn and Klug 2002;Mimagoniatites bohemicus;;Fig.69A.whorl1;Agoniatitida;Agoniatitina;Mimagoniatitaceae;Mimagoniatitidae;Mimagoniatitinae;Mimagoniatites;Eichenberg 1930;Barrande 1865;Emsian;late Emsian;Anarcestes lateseptatus 1;Interval 3;Mimagoniatites bohemicus - Fig.69A.whorl1 - (wh 40.3 mm) - Korn and Klug 2002;40,3
Korn and Klug 2002;Mimagoniatites bohemicus;;Fig.69A.whorl2;Agoniatitida;Agoniatitina;Mimagoniatitaceae;Mimagoniatitidae;Mimagoniatitinae;Mimagoniatites;Eichenberg 1930;Barrande 1865;Emsian;late Emsian;Anarcestes lateseptatus 1;Interval 3;Mimagoniatites bohemicus - Fig.69A.whorl2 - (wh 19.3 mm) - Korn and Klug 2002;19,3
Korn and Klug 2002;Mimagoniatites bohemicus;;Fig.69A.whorl3;Agoniatitida;Agoniatitina;Mimagoniatitaceae;Mimagoniatitidae;Mimagoniatitinae;Mimagoniatites;Eichenberg 1930;Barrande 1865;Emsian;late Emsian;Anarcestes lateseptatus 1;Interval 3;Mimagoniatites bohemicus - Fig.69A.whorl3 - (wh 10.7 mm) - Korn and Klug 2002;10,7
Korn and Klug 2002;Mimagoniatites bohemicus;;Fig.69A.whorl4;Agoniatitida;Agoniatitina;Mimagoniatitaceae;Mimagoniatitidae;Mimagoniatitinae;Mimagoniatites;Eichenberg 1930;Barrande 1865;Emsian;late Emsian;Anarcestes lateseptatus 1;Interval 3;Mimagoniatites bohemicus - Fig.69A.whorl4 - (wh 5.7 mm) - Korn and Klug 2002;5,7
Korn and Klug 2002;Mimagoniatites bohemicus;;Fig.69A.whorl5;Agoniatitida;Agoniatitina;Mimagoniatitaceae;Mimagoniatitidae;Mimagoniatitinae;Mimagoniatites;Eichenberg 1930;Barrande 1865;Emsian;late Emsian;Anarcestes lateseptatus 1;Interval 3;Mimagoniatites bohemicus - Fig.69A.whorl5 - (wh 2.7 mm) - Korn and Klug 2002;2,7
Korn and Klug 2002;Chlupacites praeceps;;Fig.73D-whorl1;Agoniatitida;Agoniatitina;Mimagoniatitaceae;Latanarcestidae;Latanarcestinae;Chlupacites;Becker and House 1994;Chlupac and Turek 1983;Emsian;late Emsian;Anarcestes lateseptatus 1;Interval 3;Chlupacites praeceps - Fig.73D.whorl1 - wh(25.9 mm) - D. Korn;25,9
Korn and Klug 2002;Chlupacites praeceps;;Fig.73D-whorl2;Agoniatitida;Agoniatitina;Mimagoniatitaceae;Latanarcestidae;Latanarcestinae;Chlupacites;Becker and House 1994;Chlupac and Turek 1983;Emsian;late Emsian;Anarcestes lateseptatus 1;Interval 3;Chlupacites praeceps - Fig.73D.whorl2 - wh(16.4 mm) - D. Korn;16,4
Korn and Klug 2002;Chlupacites praeceps;;Fig.73D-whorl3;Agoniatitida;Agoniatitina;Mimagoniatitaceae;Latanarcestidae;Latanarcestinae;Chlupacites;Becker and House 1994;Chlupac and Turek 1983;Emsian;late Emsian;Anarcestes lateseptatus 1;Interval 3;Chlupacites praeceps - Fig.73D.whorl3 - wh(9.6 mm) - D. Korn;9,6
