Reference;Species;Sp.State;Specimen;Order;Suborder;Superfamily;Family;Subfamily;Genus;Genus.Author;Species.Author;Stage;Substage;Biozone;Interval;Aperture.Image;wh
Bockwinkel et al 2015 ;Extropharciceras gentile;;MB.C.25107.7.whorl1;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Extropharciceras;Bockwinkel et al. 2009;Bockwinkel et al. 2015;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Extropharciceras gentile - MB.C.25107.7.whorl1 - wh(7.4 mm) - Bockwinkel 2015;7,4
Bockwinkel et al 2015 ;Extropharciceras gentile;;MB.C.25107.7.whorl2;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Extropharciceras;Bockwinkel et al. 2009;Bockwinkel et al. 2015;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Extropharciceras gentile - MB.C.25107.7.whorl2 - wh(5.5 mm) - Bockwinkel 2015;5,5
Bockwinkel et al 2015 ;Extropharciceras gentile;;MB.C.25107.7.whorl3;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Extropharciceras;Bockwinkel et al. 2009;Bockwinkel et al. 2015;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Extropharciceras gentile - MB.C.25107.7.whorl3 - wh(3.8 mm) - Bockwinkel 2015;3,8
Bockwinkel et al 2015 ;Extropharciceras gentile;;MB.C.25107.7.whorl4;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Extropharciceras;Bockwinkel et al. 2009;Bockwinkel et al. 2015;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Extropharciceras gentile - MB.C.25107.7.whorl4 - wh(2.8 mm) - Bockwinkel 2015;2,8
Bockwinkel et al 2015 ;Extropharciceras gentile;;MB.C.25107.7.whorl5;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Extropharciceras;Bockwinkel et al. 2009;Bockwinkel et al. 2015;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Extropharciceras gentile - MB.C.25107.7.whorl5 - wh(2.3 mm) - Bockwinkel 2015;2,3
Bockwinkel et al 2013;Extropharciceras applanatum ;;MB.C.22116.2.whorl1;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Extropharciceras;Bockwinkel et al. 2009;Bensaid 1974;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Extropharciceras applanatum (M I) - MB.C.22116.2.whorl1 - wh(19.4 mm) - Bockwinkel 2013;19,4
Bockwinkel et al 2013;Extropharciceras applanatum ;;MB.C.22116.2.whorl2;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Extropharciceras;Bockwinkel et al. 2009;Bensaid 1974;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Extropharciceras applanatum (M I) - MB.C.22116.2.whorl2 - wh(14.8 mm) - Bockwinkel 2013;14,8
Bockwinkel et al 2013;Extropharciceras applanatum ;;MB.C.22116.2.whorl3;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Extropharciceras;Bockwinkel et al. 2009;Bensaid 1974;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Extropharciceras applanatum (M I) - MB.C.22116.2.whorl3 - wh(9.9 mm) - Bockwinkel 2013;9,9
Bockwinkel et al 2013;Extropharciceras applanatum ;;MB.C.22116.2.whorl4;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Extropharciceras;Bockwinkel et al. 2009;Bensaid 1974;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Extropharciceras applanatum (M I) - MB.C.22116.2.whorl4 - wh(6.5 mm) -Bockwinkel 2013;6,5
Bockwinkel et al 2013;Extropharciceras applanatum ;;MB.C.22116.2.whorl5;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Extropharciceras;Bockwinkel et al. 2009;Bensaid 1974;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Extropharciceras applanatum (M I) - MB.C.22116.2.whorl5 - wh(4.6 mm) - Bockwinkel 2013;4,6
