Reference;Species;Sp.State;Specimen;Order;Suborder;Superfamily;Family;Subfamily;Genus;Genus.Author;Species.Author;Stage;Substage;Biozone;Interval;dm1;dm2;uw;ww;wh;ah;CWI;UWI;WER;WWI;IZR
Bockwinkel et al 2013 Fossil Record;Pseudoprobeloceras pernai;;MB.C.22134.5.whorl5;Agoniatitida;Gephuroceratina;Gephurocerataceae;Acanthoclymeniidae;Ponticeratinae;Pseudoprobeloceras ;Bensaid 1974;Wedekind 1918;Givetian;late Givetian;Taouzites taouzensis;Interval 7;5,6;4,2;2,5;2,4;1,9;1,4;0,42;0,45;1,78;1,27;0,24
Bockwinkel et al 2013 Fossil Record;Darkaoceras velox;;MB.C.22105.4.whorl1;Agoniatitida;Gephuroceratina;Gephurocerataceae;Taouzitidae;Taouzitinae;Darkaoceras;Bockwinkel et al. 2009;Bockwinkel et al. 2013;Givetian;late Givetian;Taouzites taouzensis;Interval 7;17,8;11,5;4;6,9;8,6;6,3;0,39;0,22;2,4;0,8;0,27
Bockwinkel et al 2013 Fossil Record;Darkaoceras velox;;MB.C.22105.4.whorl2;Agoniatitida;Gephuroceratina;Gephurocerataceae;Taouzitidae;Taouzitinae;Darkaoceras;Bockwinkel et al. 2009;Bockwinkel et al. 2013;Givetian;late Givetian;Taouzites taouzensis;Interval 7;12;8;3,3;5,4;5,3;3,9;0,45;0,27;2,22;1,02;0,25
Bockwinkel et al 2013 Fossil Record;Darkaoceras velox;;MB.C.22105.4.whorl3;Agoniatitida;Gephuroceratina;Gephurocerataceae;Taouzitidae;Taouzitinae;Darkaoceras;Bockwinkel et al. 2009;Bockwinkel et al. 2013;Givetian;late Givetian;Taouzites taouzensis;Interval 7;7,8;5,4;2,4;4,2;3,3;2,4;0,54;0,31;2,09;1,29;0,26
Bockwinkel et al 2013 Fossil Record;Darkaoceras velox;;MB.C.22105.4.whorl4;Agoniatitida;Gephuroceratina;Gephurocerataceae;Taouzitidae;Taouzitinae;Darkaoceras;Bockwinkel et al. 2009;Bockwinkel et al. 2013;Givetian;late Givetian;Taouzites taouzensis;Interval 7;5,5;4;1,9;3,4;2,1;1,6;0,62;0,34;1,94;1,61;0,26
Bockwinkel et al 2013 Fossil Record;Darkaoceras velox;;MB.C.22105.4.whorl5;Agoniatitida;Gephuroceratina;Gephurocerataceae;Taouzitidae;Taouzitinae;Darkaoceras;Bockwinkel et al. 2009;Bockwinkel et al. 2013;Givetian;late Givetian;Taouzites taouzensis;Interval 7;4;2,9;1,3;2,8;1,5;1,1;0,7;0,33;1,95;1,91;0,22
Bockwinkel et al 2013 Fossil Record;Taouzites taouzensis;;MB.C.22106.3.whorl1;Agoniatitida;Gephuroceratina;Gephurocerataceae;Taouzitidae;Taouzitinae;Taouzites ;Korn 2001;Termier and Termier 1950;Givetian;late Givetian;Taouzites taouzensis;Interval 7;26,9;16,8;4,6;6,9;13,9;10,1;0,26;0,17;2,56;0,5;0,27
Bockwinkel et al 2013 Fossil Record;Taouzites taouzensis;;MB.C.22106.3.whorl2;Agoniatitida;Gephuroceratina;Gephurocerataceae;Taouzitidae;Taouzitinae;Taouzites ;Korn 2001;Termier and Termier 1950;Givetian;late Givetian;Taouzites taouzensis;Interval 7;17,3;10,5;3,8;5,2;8,7;6,9;0,3;0,22;2,74;0,6;0,21
Bockwinkel et al 2013 Fossil Record;Taouzites taouzensis;;MB.C.22106.3.whorl3;Agoniatitida;Gephuroceratina;Gephurocerataceae;Taouzitidae;Taouzitinae;Taouzites ;Korn 2001;Termier and Termier 1950;Givetian;late Givetian;Taouzites taouzensis;Interval 7;10,1;6,6;2,9;3,8;4,5;3,5;0,38;0,29;2,34;0,84;0,22
Bockwinkel et al 2013 Fossil Record;Taouzites taouzensis;;MB.C.22106.3.whorl4;Agoniatitida;Gephuroceratina;Gephurocerataceae;Taouzitidae;Taouzitinae;Taouzites ;Korn 2001;Termier and Termier 1950;Givetian;late Givetian;Taouzites taouzensis;Interval 7;6,9;4,7;2,3;3;2,8;2,2;0,43;0,34;2,15;1,06;0,22
