Reference;Species;Sp.State;Specimen;Order;Suborder;Superfamily;Family;Subfamily;Genus;Genus.Author;Species.Author;Stage;Substage;Biozone;Interval;dm1;dm2;uw;ww;wh;ah;CWI;UWI;WER;WWI;IZR
Korn and Klug 2002;Achguigites tafilaltensis;;Fig.80A.whorl1;Agoniatitida;Anarcestina;Anarcestaceae;Achguigitidae;Achguigitinae;Achguigites;Klug 2002;Klug 2002;Emsian;late Emsian;Anarcestes lateseptatus 1;Interval 3;46,9;32;10;13,1;21,4;14,9;0,28;0,21;2,15;0,61;0,3
Korn and Klug 2002;Achguigites tafilaltensis;;Fig.80A.whorl2;Agoniatitida;Anarcestina;Anarcestaceae;Achguigitidae;Achguigitinae;Achguigites;Klug 2002;Klug 2002;Emsian;late Emsian;Anarcestes lateseptatus 1;Interval 3;32;21,1;6,6;11,2;15,4;10,9;0,35;0,21;2,3;0,73;0,29
Korn and Klug 2002;Achguigites tafilaltensis;;Fig.80A.whorl3;Agoniatitida;Anarcestina;Anarcestaceae;Achguigitidae;Achguigitinae;Achguigites;Klug 2002;Klug 2002;Emsian;late Emsian;Anarcestes lateseptatus 1;Interval 3;21,1;13,9;4,6;8,2;9,9;7,2;0,39;0,22;2,3;0,83;0,27
Korn and Klug 2002;Achguigites tafilaltensis;;Fig.80A.whorl4;Agoniatitida;Anarcestina;Anarcestaceae;Achguigitidae;Achguigitinae;Achguigites;Klug 2002;Klug 2002;Emsian;late Emsian;Anarcestes lateseptatus 1;Interval 3;13,9;9,3;3,3;6,5;6,5;4,6;0,47;0,24;2,23;1;0,29
Korn and Klug 2002;Achguigites tafilaltensis;;Fig.80A.whorl5;Agoniatitida;Anarcestina;Anarcestaceae;Achguigitidae;Achguigitinae;Achguigites;Klug 2002;Klug 2002;Emsian;late Emsian;Anarcestes lateseptatus 1;Interval 3;9,3;6,3;2,6;4,8;4;3;0,52;0,28;2,18;1,19;0,26
Korn and Klug 2002;Achguigites tafilaltensis;;Fig.80A.whorl6;Agoniatitida;Anarcestina;Anarcestaceae;Achguigitidae;Achguigitinae;Achguigites;Klug 2002;Klug 2002;Emsian;late Emsian;Anarcestes lateseptatus 1;Interval 3;6,3;4,4;2;3,4;2,7;1,9;0,54;0,32;2,05;1,27;0,29
Korn and Klug 2002;Achguigites tafilaltensis;;Fig.80A.whorl7;Agoniatitida;Anarcestina;Anarcestaceae;Achguigitidae;Achguigitinae;Achguigites;Klug 2002;Klug 2002;Emsian;late Emsian;Anarcestes lateseptatus 1;Interval 3;4,4;3,2;1,5;2,4;1,6;1,2;0,55;0,34;1,89;1,48;0,26
Korn and Klug 2002;Mimagoniatites bohemicus;;Fig.69A.whorl1;Agoniatitida;Agoniatitina;Mimagoniatitaceae;Mimagoniatitidae;Mimagoniatitinae;Mimagoniatites;Eichenberg 1930;Barrande 1865;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;77;40;18,2;29,3;40,3;37;0,38;0,24;3,71;0,73;0,08
Korn and Klug 2002;Mimagoniatites bohemicus;;Fig.69A.whorl2;Agoniatitida;Agoniatitina;Mimagoniatitaceae;Mimagoniatitidae;Mimagoniatitinae;Mimagoniatites;Eichenberg 1930;Barrande 1865;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;40;23,4;10,5;17,4;19,3;16,6;0,44;0,26;2,92;0,9;0,14
Korn and Klug 2002;Mimagoniatites bohemicus;;Fig.69A.whorl3;Agoniatitida;Agoniatitina;Mimagoniatitaceae;Mimagoniatitidae;Mimagoniatitinae;Mimagoniatites;Eichenberg 1930;Barrande 1865;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;23,4;13,3;6,9;11;10,7;10,1;0,47;0,29;3,1;1,03;0,06
Korn and Klug 2002;Mimagoniatites bohemicus;;Fig.69A.whorl4;Agoniatitida;Agoniatitina;Mimagoniatitaceae;Mimagoniatitidae;Mimagoniatitinae;Mimagoniatites;Eichenberg 1930;Barrande 1865;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;13,3;8,5;4,7;6,9;5,7;4,8;0,52;0,35;2,45;1,21;0,16
Korn and Klug 2002;Mimagoniatites bohemicus;;Fig.69A.whorl5;Agoniatitida;Agoniatitina;Mimagoniatitaceae;Mimagoniatitidae;Mimagoniatitinae;Mimagoniatites;Eichenberg 1930;Barrande 1865;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;8,5;6,4;3,3;3,9;2,7;2,1;0,46;0,39;1,76;1,44;0,22
Korn and Klug 2002;Chlupacites praeceps;;Fig.73D-whorl1;Agoniatitida;Agoniatitina;Mimagoniatitaceae;Latanarcestidae;Latanarcestinae;Chlupacites;Becker and House 1994;Chlupac and Turek 1983;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;54,4;33,5;12,4;21,8;25,9;20,9;0,4;0,23;2,64;0,84;0,19
Korn and Klug 2002;Chlupacites praeceps;;Fig.73D-whorl2;Agoniatitida;Agoniatitina;Mimagoniatitaceae;Latanarcestidae;Latanarcestinae;Chlupacites;Becker and House 1994;Chlupac and Turek 1983;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;33,5;19,9;7,8;15,5;16,4;13,6;0,46;0,23;2,83;0,95;0,17
Korn and Klug 2002;Chlupacites praeceps;;Fig.73D-whorl3;Agoniatitida;Agoniatitina;Mimagoniatitaceae;Latanarcestidae;Latanarcestinae;Chlupacites;Becker and House 1994;Chlupac and Turek 1983;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;19,9;11,9;5;9,8;9,6;8;0,49;0,25;2,8;1,02;0,17
Korn and Klug 2002;Chlupacites praeceps;;Fig.73D-whorl4;Agoniatitida;Agoniatitina;Mimagoniatitaceae;Latanarcestidae;Latanarcestinae;Chlupacites;Becker and House 1994;Chlupac and Turek 1983;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;11,9;7,8;3,6;7,1;5,4;4,1;0,6;0,3;2,33;1,31;0,24
Korn and Klug 2002;Chlupacites praeceps;;Fig.73D-whorl5;Agoniatitida;Agoniatitina;Mimagoniatitaceae;Latanarcestidae;Latanarcestinae;Chlupacites;Becker and House 1994;Chlupac and Turek 1983;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;7,8;5,1;2,5;5,3;3,4;2,7;0,68;0,32;2,34;1,56;0,21
Korn and Klug 2002;Chlupacites praeceps;;Fig.73D-whorl6;Agoniatitida;Agoniatitina;Mimagoniatitaceae;Latanarcestidae;Latanarcestinae;Chlupacites;Becker and House 1994;Chlupac and Turek 1983;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;5,1;3,7;1,9;3,7;2;1,4;0,73;0,37;1,9;1,85;0,3
Chlupac and Turek 1983;Anarcestes plebeius;;L17758-whorl1;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Barrande 1865;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;43,3;33;15,6;18,2;16,2;10,3;0,42;0,36;1,72;1,12;0,36
Chlupac and Turek 1983;Anarcestes plebeius;;L17758-whorl2;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Barrande 1865;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;33;25,6;12,9;15,2;11,6;7,4;0,46;0,39;1,66;1,31;0,36
Chlupac and Turek 1983;Anarcestes plebeius;;L17758-whorl3;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Barrande 1865;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;25,6;19,8;10,3;12,4;8,5;5,8;0,48;0,4;1,67;1,46;0,32
Chlupac and Turek 1983;Anarcestes plebeius;;L17758-whorl4;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Barrande 1865;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;19,8;15,6;8,2;10,4;6,6;4,2;0,53;0,41;1,61;1,58;0,36
Chlupac and Turek 1983;Anarcestes plebeius;;L17758-whorl5;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Barrande 1865;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;15,6;12,6;6,7;9,2;4,8;3;0,59;0,43;1,53;1,92;0,38
Ebbighausen et al 2011;Anarcestes crassus;;MB.C.15693.whorl1;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Barrande 1867;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;47,3;40,7;21,9;28;14,2;6,6;0,59;0,46;1,35;1,98;0,53
Ebbighausen et al 2011;Anarcestes crassus;;MB.C.15693.whorl2;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Barrande 1867;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;40,6;35,6;18,5;25,2;11,2;5;0,62;0,46;1,3;2,26;0,55
Ebbighausen et al 2011;Anarcestes crassus;;MB.C.15693.whorl3;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Barrande 1867;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;35,7;30,6;15,2;24,1;11;5,1;0,68;0,43;1,36;2,19;0,54
Ebbighausen et al 2011;Anarcestes crassus;;MB.C.15693.whorl4;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Barrande 1867;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;30,6;26,5;12,6;21;9,5;4,1;0,69;0,41;1,33;2,2;0,57
Ebbighausen et al 2011;Anarcestes crassus;;MB.C.15693.whorl5;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Barrande 1867;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;26,5;22,7;10,7;17,9;8,5;3,8;0,68;0,4;1,36;2,11;0,55
Ebbighausen et al 2011;Anarcestes crassus;;MB.C.15693.whorl6;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Barrande 1867;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;22,7;19,4;8,9;15,6;7,3;3,3;0,69;0,39;1,37;2,13;0,55
Ebbighausen et al 2011;Anarcestes crassus;;MB.C.15693.whorl7;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Barrande 1867;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;19,4;16,4;7,3;12,9;6,5;3;0,66;0,38;1,4;2;0,54
Ebbighausen et al 2011;Anarcestes crassus;;MB.C.15693.whorl8;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Barrande 1867;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;16,5;13,7;5,9;11;5,7;2,8;0,67;0,36;1,45;1,92;0,51
Chlupac and Turek 1983;Anarcestes latissimus;;L19735.whorl1;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Chlupac and Turek 1983;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;61;51,4;33,9;38,1;15,6;9,6;0,62;0,56;1,41;2,44;0,38
Chlupac and Turek 1983;Anarcestes latissimus;;L19735.whorl2;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Chlupac and Turek 1983;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;43;35,6;22;27,5;11,1;7,4;0,64;0,51;1,46;2,48;0,33
Chlupac and Turek 1983;Anarcestes latissimus;;L19735.whorl3;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Chlupac and Turek 1983;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;35,6;29,3;18,8;23,4;9;6,3;0,66;0,53;1,48;2,6;0,3
Korn and Klug 2002;Anarcestes simulans;;Fig.119C.whorl1;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Barrande 1865;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;26,1;20,7;11,1;14,4;8,9;5,4;0,55;0,43;1,59;1,61;0,39
Korn and Klug 2002;Anarcestes simulans;;Fig.119C.whorl2;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Barrande 1865;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;20,7;16,8;9,3;12,2;6,1;3,9;0,59;0,45;1,52;2;0,36
Korn and Klug 2002;Anarcestes simulans;;Fig.119C.whorl3;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Barrande 1865;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;16,8;13,7;7,3;10,1;5,4;3,1;0,6;0,43;1,5;1,89;0,42
Korn and Klug 2002;Anarcestes simulans;;Fig.119C.whorl4;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Barrande 1865;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;13,7;10,9;6;8,8;4,2;2,8;0,64;0,44;1,58;2,08;0,33
Korn and Klug 2002;Anarcestes simulans;;Fig.119C.whorl5;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Barrande 1865;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;10,9;8,7;4,8;7,2;3,5;2,2;0,66;0,44;1,57;2,09;0,36
Korn and Klug 2002;Anarcestes simulans;;Fig.119C.whorl6;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Barrande 1865;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;8,7;7,1;4;6,1;2,5;1,7;0,7;0,46;1,52;2,42;0,34
Korn and Klug 2002;Anarcestes simulans;;Fig.119C.whorl7;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Barrande 1865;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;7,1;5,8;3,3;4,8;2,2;1,3;0,67;0,47;1,5;2,16;0,41
Korn and Klug 2002;Anarcestes simulans;;Fig.119C.whorl8;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Anarcestes;Mojsisovics 1882;Barrande 1865;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;5,8;4,6;2,5;4;1,9;1,2;0,7;0,43;1,56;2,16;0,38
Korn and Klug 2002;Achguigites tafilaltensis;;Fig.80A.whorl1;Agoniatitida;Anarcestina;Anarcestaceae;Achguigitidae;Achguigitinae;Achguigites;Klug 2002;Klug 2002;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;46,9;32;10;13,1;21,4;14,9;0,28;0,21;2,15;0,61;0,3
Korn and Klug 2002;Achguigites tafilaltensis;;Fig.80A.whorl2;Agoniatitida;Anarcestina;Anarcestaceae;Achguigitidae;Achguigitinae;Achguigites;Klug 2002;Klug 2002;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;32;21,1;6,6;11,2;15,4;10,9;0,35;0,21;2,3;0,73;0,29
Korn and Klug 2002;Achguigites tafilaltensis;;Fig.80A.whorl3;Agoniatitida;Anarcestina;Anarcestaceae;Achguigitidae;Achguigitinae;Achguigites;Klug 2002;Klug 2002;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;21,1;13,9;4,6;8,2;9,9;7,2;0,39;0,22;2,3;0,83;0,27
Korn and Klug 2002;Achguigites tafilaltensis;;Fig.80A.whorl4;Agoniatitida;Anarcestina;Anarcestaceae;Achguigitidae;Achguigitinae;Achguigites;Klug 2002;Klug 2002;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;13,9;9,3;3,3;6,5;6,5;4,6;0,47;0,24;2,23;1;0,29
Korn and Klug 2002;Achguigites tafilaltensis;;Fig.80A.whorl5;Agoniatitida;Anarcestina;Anarcestaceae;Achguigitidae;Achguigitinae;Achguigites;Klug 2002;Klug 2002;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;9,3;6,3;2,6;4,8;4;3;0,52;0,28;2,18;1,19;0,26
Korn and Klug 2002;Achguigites tafilaltensis;;Fig.80A.whorl6;Agoniatitida;Anarcestina;Anarcestaceae;Achguigitidae;Achguigitinae;Achguigites;Klug 2002;Klug 2002;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;6,3;4,4;2;3,4;2,7;1,9;0,54;0,32;2,05;1,27;0,29
Korn and Klug 2002;Achguigites tafilaltensis;;Fig.80A.whorl7;Agoniatitida;Anarcestina;Anarcestaceae;Achguigitidae;Achguigitinae;Achguigites;Klug 2002;Klug 2002;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;4,4;3,2;1,5;2,4;1,6;1,2;0,55;0,34;1,89;1,48;0,26
Ebbighausen et al 2011;Achguigites hidens;;MB.C.15688.1.whorl1;Agoniatitida;Anarcestina;Anarcestaceae;Achguigitidae;Achguigitinae;Achguigites;Klug 2002;Ebbighausen et al. 2011;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;61,8;44,6;17,3;17,3;25,6;17,2;0,28;0,28;1,92;0,68;0,33
Ebbighausen et al 2011;Achguigites hidens;;MB.C.15688.1.whorl2;Agoniatitida;Anarcestina;Anarcestaceae;Achguigitidae;Achguigitinae;Achguigites;Klug 2002;Ebbighausen et al. 2011;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;44,6;32,8;12,2;12,6;18,9;11,8;0,28;0,27;1,85;0,67;0,38
Ebbighausen et al 2011;Achguigites hidens;;MB.C.15688.1.whorl3;Agoniatitida;Anarcestina;Anarcestaceae;Achguigitidae;Achguigitinae;Achguigites;Klug 2002;Ebbighausen et al. 2011;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;32,8;23,7;8,8;11,7;13,5;9,1;0,36;0,27;1,92;0,87;0,32
Ebbighausen et al 2011;Achguigites hidens;;MB.C.15688.1.whorl4;Agoniatitida;Anarcestina;Anarcestaceae;Achguigitidae;Achguigitinae;Achguigites;Klug 2002;Ebbighausen et al. 2011;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;23,2;16,5;5,7;9,1;10,3;6,7;0,39;0,25;1,98;0,88;0,35
Ebbighausen et al 2011;Achguigites hidens;;MB.C.15688.1.whorl5;Agoniatitida;Anarcestina;Anarcestaceae;Achguigitidae;Achguigitinae;Achguigites;Klug 2002;Ebbighausen et al. 2011;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;16,5;11,7;3,9;7,3;7,5;4,8;0,44;0,24;1,99;0,97;0,36
Ebbighausen et al 2011;Achguigites hidens;;MB.C.15688.1.whorl6;Agoniatitida;Anarcestina;Anarcestaceae;Achguigitidae;Achguigitinae;Achguigites;Klug 2002;Ebbighausen et al. 2011;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;11,7;8,1;3,3;6,2;5,2;3,6;0,53;0,28;2,09;1,19;0,31
Ebbighausen et al 2011;Sellanarcestes wenkenbachi;;MB.C.15720.whorl1;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Sellanarcestes;Schindewolf 1933;Kayser 1884;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;82,4;66,8;39,7;33,5;23,1;15,6;0,41;0,48;1,52;1,45;0,32
Ebbighausen et al 2011;Sellanarcestes wenkenbachi;;MB.C.15720.whorl2;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Sellanarcestes;Schindewolf 1933;Kayser 1884;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;66,9;55,4;30,1;30;19,6;11,5;0,45;0,45;1,46;1,53;0,41
Ebbighausen et al 2011;Sellanarcestes wenkenbachi;;MB.C.15720.whorl3;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Sellanarcestes;Schindewolf 1933;Kayser 1884;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;55,4;45,4;23,9;28,8;17,2;10;0,52;0,43;1,49;1,68;0,42
Ebbighausen et al 2011;Sellanarcestes wenkenbachi;;MB.C.15720.whorl4;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Sellanarcestes;Schindewolf 1933;Kayser 1884;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;45,3;37,9;19,1;25,4;14,3;7,4;0,56;0,42;1,43;1,77;0,48
Ebbighausen et al 2011;Sellanarcestes wenkenbachi;;MB.C.15720.whorl5;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Sellanarcestes;Schindewolf 1933;Kayser 1884;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;37,8;32;15,5;22,5;11,9;5,8;0,6;0,41;1,4;1,9;0,51
Ebbighausen et al 2011;Sellanarcestes wenkenbachi;;MB.C.15720.whorl6;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Sellanarcestes;Schindewolf 1933;Kayser 1884;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;32;26,5;12,6;19,4;10,4;5,5;0,61;0,39;1,46;1,86;0,47
Ebbighausen et al 2011;Sellanarcestes wenkenbachi;;MB.C.15720.whorl7;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Sellanarcestes;Schindewolf 1933;Kayser 1884;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;26,5;21,7;10,2;16,1;9;4,8;0,61;0,38;1,49;1,79;0,47
Ebbighausen et al 2011;Sellanarcestes wenkenbachi;;MB.C.15720.whorl8;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Sellanarcestes;Schindewolf 1933;Kayser 1884;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;21,7;17,8;8,2;13,5;7,3;3,9;0,62;0,38;1,49;1,84;0,47
Ebbighausen et al 2011;Sellanarcestes neglectus;;MB.C.15718.2.whorl1;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Sellanarcestes;Schindewolf 1933;Barrande 1865;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;53,4;41,5;18,3;13,8;19,5;11,9;0,26;0,34;1,66;0,71;0,39
Ebbighausen et al 2011;Sellanarcestes neglectus;;MB.C.15718.2.whorl2;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Sellanarcestes;Schindewolf 1933;Barrande 1865;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;41,6;32,7;13,6;13,5;15,6;8,9;0,32;0,33;1,62;0,86;0,43
Ebbighausen et al 2011;Sellanarcestes neglectus;;MB.C.15718.2.whorl3;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Sellanarcestes;Schindewolf 1933;Barrande 1865;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;32,7;25,3;10,3;12,8;12,4;7,4;0,39;0,31;1,67;1,03;0,4
Ebbighausen et al 2011;Sellanarcestes neglectus;;MB.C.15718.2.whorl4;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Sellanarcestes;Schindewolf 1933;Barrande 1865;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;25,3;19,3;7,4;10,7;10,1;6;0,42;0,29;1,72;1,06;0,4
Ebbighausen et al 2011;Sellanarcestes neglectus;;MB.C.15718.2.whorl5;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Sellanarcestes;Schindewolf 1933;Barrande 1865;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;19,3;15,1;5,5;9,7;7,8;4,2;0,5;0,28;1,63;1,24;0,46
Ebbighausen et al 2011;Sellanarcestes neglectus;;MB.C.15718.2.whorl6;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Sellanarcestes;Schindewolf 1933;Barrande 1865;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;15,1;11,7;4,6;8,2;6;3,4;0,54;0,3;1,67;1,36;0,44
Ebbighausen et al 2011;Sellanarcestes neglectus;;MB.C.15718.2.whorl7;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Sellanarcestes;Schindewolf 1933;Barrande 1865;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;11,7;9,1;3,8;6,3;4,5;2,6;0,54;0,32;1,65;1,39;0,42
Ebbighausen et al 2011;Sellanarcestes neglectus;;MB.C.15718.2.whorl8;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Sellanarcestes;Schindewolf 1933;Barrande 1865;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;9,1;7,2;3,3;5,2;3,4;1,9;0,57;0,36;1,6;1,54;0,44
Ebbighausen et al 2011;Sellanarcestes neglectus;;MB.C.15718.2.whorl9;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Sellanarcestes;Schindewolf 1933;Barrande 1865;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;7,2;5,6;2,9;3,9;2,5;1,6;0,54;0,4;1,65;1,58;0,35
Ebbighausen et al 2011;Sellanarcestes applanatus;;C.194.whorl1;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Sellanarcestes;Schindewolf 1933;Frech 1897;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;144;105,8;52,8;35,6;52,8;38,2;0,25;0,37;1,85;0,67;0,28
Ebbighausen et al 2011;Sellanarcestes applanatus;;C.194.whorl2;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Sellanarcestes;Schindewolf 1933;Frech 1897;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;105,8;82,4;43,6;30,6;38,8;23,4;0,29;0,41;1,65;0,79;0,4
Ebbighausen et al 2011;Sellanarcestes applanatus;;C.194.whorl3;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Sellanarcestes;Schindewolf 1933;Frech 1897;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;82;66,7;36,8;26;23,2;15,3;0,32;0,45;1,51;1,12;0,34
Ebbighausen et al 2011;Sellanarcestes applanatus;;C.194.whorl4;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Sellanarcestes;Schindewolf 1933;Frech 1897;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;67,2;53,8;29,6;25,1;22,6;13,4;0,37;0,44;1,56;1,11;0,41
Ebbighausen et al 2011;Sellanarcestes applanatus;;C.194.whorl5;Agoniatitida;Anarcestina;Anarcestaceae;Anarcestidae;Anarcestinae;Sellanarcestes;Schindewolf 1933;Frech 1897;Emsian;late Emsian;Sellanarcestes wenkenbachi;Interval 3;53;43,1;23,5;22;15,2;9,9;0,42;0,44;1,51;1,45;0,35
